
============================================================
  CHUNK 1/309
  224 fichiers, 2.05 GB
  [154/224] updated_date=2021-06-22\part_0000.gz: 9 papers, 0 arXiv (563 p/s)
  [155/224] updated_date=2021-07-05\part_0000.gz: 3 papers, 0 arXiv (415 p/s)
  [156/224] updated_date=2021-07-19\part_0000.gz: 1 papers, 0 arXiv (161 p/s)
  [157/224] updated_date=2021-08-02\part_0000.gz: 2 papers, 0 arXiv (128 p/s)
  [158/224] updated_date=2021-08-16\part_0000.gz: 3 papers, 0 arXiv (455 p/s)
  [159/224] updated_date=2021-08-30\part_0000.gz: 1 papers, 0 arXiv (148 p/s)
  [160/224] updated_date=2021-09-13\part_0000.gz: 7 papers, 0 arXiv (953 p/s)
  [161/224] updated_date=2021-09-27\part_0000.gz: 1 papers, 0 arXiv (152 p/s)
  [162/224] updated_date=2021-10-11\part_0000.gz: 1 papers, 0 arXiv (159 p/s)
  [163/224] updated_date=2021-10-25\part_0000.gz: 1 papers, 0 arXiv (98 p/s)
  [164/224] updated_date=2021-11-03\part_0000.gz: 1 papers, 0 arXiv (148 p/s)
  [165/224] updated_date=2021-11-04\part_0000.gz: 125 papers, 0 arXiv (2779 p/s)
  [166/224] updated_date=2021-12-23\part_0000.gz: 18 papers, 0 arXiv (824 p/s)
  [167/224] updated_date=2022-02-01\part_0000.gz: 2 papers, 0 arXiv (295 p/s)
  [168/224] updated_date=2022-02-02\part_0000.gz: 28 papers, 0 arXiv (2205 p/s)
  [169/224] updated_date=2022-02-03\part_0000.gz: 1 papers, 0 arXiv (56 p/s)
  [170/224] updated_date=2022-03-09\part_0000.gz: 1 papers, 0 arXiv (144 p/s)
  [171/224] updated_date=2022-04-05\part_0000.gz: 4 papers, 4 arXiv (519 p/s)
  [172/224] updated_date=2022-04-06\part_0000.gz: 4 papers, 4 arXiv (231 p/s)
  [173/224] updated_date=2022-05-05\part_0000.gz: 3 papers, 3 arXiv (423 p/s)
  [174/224] updated_date=2022-05-16\part_0000.gz: 3 papers, 0 arXiv (439 p/s)
  [175/224] updated_date=2022-07-29\part_0000.gz: 2 papers, 1 arXiv (298 p/s)
  [176/224] updated_date=2022-08-02\part_0000.gz: 1 papers, 1 arXiv (146 p/s)
  [177/224] updated_date=2022-08-06\part_0000.gz: 1 papers, 0 arXiv (157 p/s)
  [178/224] updated_date=2022-08-07\part_0000.gz: 3 papers, 0 arXiv (474 p/s)
  [179/224] updated_date=2022-10-02\part_0000.gz: 1 papers, 1 arXiv (168 p/s)
  [180/224] updated_date=2022-11-02\part_0000.gz: 1 papers, 1 arXiv (160 p/s)
  [181/224] updated_date=2023-12-11\part_0000.gz: 19 papers, 6 arXiv (1774 p/s)
  [182/224] updated_date=2024-07-19\part_0000.gz: 3 papers, 0 arXiv (438 p/s)
  [183/224] updated_date=2024-11-08\part_0000.gz: 1 papers, 0 arXiv (153 p/s)
  [184/224] updated_date=2025-07-16\part_0000.gz: 1 papers, 0 arXiv (161 p/s)
  [185/224] updated_date=2025-07-22\part_0000.gz: 11,752 papers, 33 arXiv (5314 p/s)
  [186/224] updated_date=2025-07-23\part_0000.gz: 400,000 papers, 55 arXiv (7018 p/s)
  [187/224] updated_date=2025-07-23\part_0001.gz: 151,366 papers, 23 arXiv (6229 p/s)
  [188/224] updated_date=2025-07-24\part_0000.gz: 88,298 papers, 42 arXiv (4667 p/s)
  [189/224] updated_date=2025-07-25\part_0000.gz: 9,336 papers, 44 arXiv (3917 p/s)
  [190/224] updated_date=2025-07-26\part_0000.gz: 10,756 papers, 35 arXiv (3929 p/s)
  [191/224] updated_date=2025-07-27\part_0000.gz: 4,599 papers, 31 arXiv (3510 p/s)
  [192/224] updated_date=2025-07-28\part_0000.gz: 5,603 papers, 25 arXiv (3400 p/s)
