[01:21:38] ============================================================
[01:21:38] IMPACT SCANNER — Building impact tables
[01:21:38]   WT3:      D:\ygg\yggdrasil-engine\data\wt3.db (81.9 GB)
[01:21:38]   Spectral: spectral_births.json
[01:21:38]   Output:   D:\ygg\yggdrasil-engine\data\impact.db
[01:21:38] ============================================================
[01:21:38] Loading spectral positions from spectral_births.json...
[01:21:38]   Loaded 65,026 nodes (65,026 concepts, 1,316 glyphs)
[01:21:39] Total papers in WT3: 833,030 | Already done: 0 | Remaining: 833,030 | Cursor at rowid 0
[01:25:06]   Batch 84: 425,000/833,030 (51.0%) | 2050 papers/s | ETA 3.3min
[01:25:13]   Batch 85: 430,000/833,030 (51.6%) | 2011 papers/s | ETA 3.3min
[01:25:20]   Batch 86: 435,000/833,030 (52.2%) | 1971 papers/s | ETA 3.4min
[01:25:26]   Batch 87: 440,000/833,030 (52.8%) | 1938 papers/s | ETA 3.4min
[01:25:33]   Batch 88: 445,000/833,030 (53.4%) | 1901 papers/s | ETA 3.4min
[01:25:39]   Batch 89: 450,000/833,030 (54.0%) | 1870 papers/s | ETA 3.4min
[01:25:46]   Batch 90: 455,000/833,030 (54.6%) | 1844 papers/s | ETA 3.4min
[01:25:51]   Batch 91: 460,000/833,030 (55.2%) | 1825 papers/s | ETA 3.4min
[01:25:57]   Batch 92: 465,000/833,030 (55.8%) | 1800 papers/s | ETA 3.4min
[01:26:03]   Batch 93: 470,000/833,030 (56.4%) | 1778 papers/s | ETA 3.4min
[01:26:10]   Batch 94: 475,000/833,030 (57.0%) | 1753 papers/s | ETA 3.4min
[01:26:15]   Batch 95: 480,000/833,030 (57.6%) | 1736 papers/s | ETA 3.4min
[01:26:21]   Batch 96: 485,000/833,030 (58.2%) | 1717 papers/s | ETA 3.4min
[01:26:27]   Batch 97: 490,000/833,030 (58.8%) | 1699 papers/s | ETA 3.4min
[01:26:33]   Batch 98: 495,000/833,030 (59.4%) | 1684 papers/s | ETA 3.3min
[01:26:39]   Batch 99: 500,000/833,030 (60.0%) | 1666 papers/s | ETA 3.3min
[01:26:45]   Batch 100: 505,000/833,030 (60.6%) | 1649 papers/s | ETA 3.3min
[01:26:51]   Batch 101: 510,000/833,030 (61.2%) | 1634 papers/s | ETA 3.3min
[01:26:56]   Batch 102: 515,000/833,030 (61.8%) | 1623 papers/s | ETA 3.3min
[01:27:02]   Batch 103: 520,000/833,030 (62.4%) | 1610 papers/s | ETA 3.2min
[01:27:08]   Batch 104: 525,000/833,030 (63.0%) | 1593 papers/s | ETA 3.2min
